--Header-Start--

SerialNumber	6194314361
PartNumber	1891115 HY1 CAM 17700x
BatchSerialNumber	3055645
Revision	1891115
OperationTypeName	SW Debug
UUTStatus	Passed
ErrorCode	
ErrorMessage	
StartDateTime	2019-11-11T14:03:50
ExecutionTime	174
TestSocketIndex	02
StationName	FLYING-PROBE4
OperatorName	Operator
SoftwareName	1891115-TOP-V002
SoftwareVersion	NA

--Step-Data-Start--
StepType	StepName	MeasureName	Value	LowLimit	HighLimit	CompOperator	Unit	StepStatus	StepExecutionTime	StepReportText	StepErrorCode	StepErrorMessage	CausedSequenceFailure
NumericLimitTest	ISH139	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH140	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH125	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH137	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH174	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH172	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH176	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH177	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH171	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH766	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH762	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH760	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH769	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH759	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
